abject;of the most contemptible kind;15
aberration;a state or condition markedly different from the norm;10
abjure;formally reject or disavow a formerly held belief;16
abnegation;the denial and rejection of a doctrine or belief;18
abrogate;revoke formally;18
abscond;run away, often taking something or somebody along;15
abstruse;difficult to penetrate;14
accede;yield to another's wish or opinion;1
accost;approach and speak to someone aggressively or insistently;5
accretion;an increase by natural growth or addition;4
acumen;shrewdness shown by keen insight;16
adamant;impervious to pleas, persuasion, requests, or reason;12
admonish;scold or reprimand, take to task;18
adumbrate;describe roughly or give the main points or summary of;14
adverse;in an opposing direction;8
advocate;a person who pleads for a person, cause, or idea;19
affluent;having an abundant supply of money or possessions of value;3
aggrandize;embellish, increase the scope, power, or importance of;9
alacrity;liveliness and eagerness;6
alias;a name that has been assumed temporarily;14
ambivalent;uncertain or unable to decide about what course to follow;19
amenable;disposed or willing to comply;5
amorphous;having no definite form or distinct shape;14
anachronistic;chronologically misplaced;17
anathema;a formal ecclesiastical curse accompanied by excommunication;19
annex;attach to;1
antediluvian;of or relating to the period before the biblical flood;15
antiseptic;thoroughly clean and free of disease-causing organisms;14
apathetic;showing little or no emotion or animation;15
antithesis;exact opposite;15
apocryphal;being of questionable authenticity;19
approbation;official acceptance or agreement;12
arbitrary;based on or subject to individual discretion or preference;20
arboreal;of or relating to or formed by trees;9
arcane;requiring secret or mysterious knowledge;1
archetypal;of an original type after which other things are patterned;17
arrogate;seize and take control without authority;12
ascetic;someone who practices self denial as a spiritual discipline;5
aspersion;a disparaging remark;7
assiduous;marked by care and persistent effort;4
atrophy;a decrease in size of an organ caused by disease or disuse;4
bane;something causing misery or death;4
bashful;self-consciously timid;10
beguile;influence by slyness;2
bereft;sorrowful through loss or deprivation;16
blandishment;flattery intended to persuade;15
bilk;cheat somebody out of what is due, especially money;5
bombastic;ostentatiously lofty in style;4
cajole;influence or urge by gentle urging, caressing, or flattering;5
callous;emotionally hardened;9
calumny;a false accusation of an offense;15
camaraderie;the quality of affording easy familiarity and sociability;19
candor;the quality of being honest and straightforward;20
capitulate;surrender under agreed conditions;13
carouse;engage in boisterous, drunken merrymaking;15
carp;any of various freshwater fish of the family Cyprinidae;8
caucus;meet to select a candidate or promote a policy;13
cavort;play boisterously;20
circumlocution;an indirect way of expressing something;3
circumscribe;draw a geometric figure around another figure;3
circumvent;surround so as to force to give up;8
clamor;utter or proclaim insistently and noisily;9
cleave;separate or cut with a tool, such as a sharp instrument;14
cobbler;a person who makes or repairs shoes;3
cogent;powerfully persuasive;10
cognizant;having or showing knowledge or understanding or realization;10
commensurate;corresponding in size or degree or extent;14
complement;something added to embellish or make perfect;15
compunction;a feeling of deep regret, usually for some misdeed;17
concomitant;following or accompanying as a consequence;7
conduit;a passage through which water or electric wires can pass;9
conflagration;a very intense and uncontrolled fire;1
congruity;the quality of agreeing, being suitable and appropriate;20
connive;form intrigues (for) in an underhand manner;11
consign;give over to another for care or safekeeping;6
constituent;one of the individual parts making up a composite entity;3
construe;make sense of, assign a meaning to;9
contusion;an injury in which the skin is not broken;1
contrite;feeling or expressing pain or sorrow for sins or offenses;15
contentious;showing an inclination to disagree;5
contravene;go against, as of rules and laws;9
convivial;occupied with or fond of the pleasures of good company;17
corpulence;the property of excessive fatness;10
covet;wish, long, or crave for;17
cupidity;extreme greed for material wealth;15
dearth;an insufficient quantity or number;15
debacle;a sudden and complete disaster;1
debauch;a wild gathering involving excessive drinking;10
debunk;expose while ridiculing;5
defunct;no longer in force or use, inactive;2
demagogue;a leader who seeks support by appealing to popular passions;14
denigrate;charge falsely or with malicious intent;16
derivative;a compound obtained from another compound;6
despot;a cruel and oppressive dictator;19
diaphanous;so thin as to transmit light;8
didactic;instructive, especially excessively;14
dirge;a song or hymn of mourning as a memorial to a dead person;11
disaffected;discontented as toward authority;14
discomfit;cause to lose one's composure;15
disparate;fundamentally different or distinct in quality or kind;5
dispel;to cause to separate and go in different directions;18
disrepute;the state of being held in low esteem;6
divisive;causing or characterized by disagreement or disunity;7
dogmatic;pertaining to a code of beliefs accepted as authoritative;3
dour;showing a brooding ill humor;20
duplicity;the act of deceiving or acting in bad faith;6
duress;compulsory force or threat;1
eclectic;selecting what seems best of various styles or ideas;2
edict;a formal or authoritative proclamation;12
ebullient;joyously unrestrained;12
egregious;conspicuously and outrageously bad or reprehensible;12
elegy;a mournful poem, a lament for the dead;5
elicit;call forth, as an emotion, feeling, or response;19
embezzlement;the fraudulent appropriation of funds or property;11
emend;make corrections to;14
emollient;a substance with a soothing effect when applied to the skin;17
empirical;derived from experiment and observation rather than theory;4
emulate;strive to equal or match, especially by imitating;1
enervate;weaken mentally or morally;15
enfranchise;grant freedom to, as from slavery or servitude;17
engender;call forth;7
ephemeral;anything short-lived, as an insect that lives only for a day;2
epistolary;written in the form of letters or correspondence;8
equanimity;steadiness of mind under stress;11
equivocal;open to two or more interpretations;3
espouse;choose and follow a theory, idea, policy, etc.;13
evanescent;tending to vanish like vapor;14
evince;give expression to;16
exacerbate;make worse;1
exhort;spur on or encourage especially by cheers and shouts;4
execrable;unequivocally detestable;15
exigent;demanding immediate attention;7
expedient;appropriate to a purpose;2
expiate;make amends for;19
expunge;remove by erasing or crossing out or as if by drawing a line;4
extraneous;not belonging to that in which it is contained;1
extol;praise, glorify, or honor;17
extant;still in existence, not extinct or destroyed or lost;3
expurgate;edit by omitting or modifying parts considered indelicate;6
fallacious;containing or based on incorrect reasoning;7
fatuous;devoid of intelligence;16
fetter;a shackle for the ankles or feet;14
flagrant;conspicuously and outrageously bad or reprehensible;12
foil;hinder or prevent, as an effort, plan, or desire;15
forbearance;good-natured tolerance of delay or incompetence;4
fortuitous;occurring by happy chance;10
